2020-08-25 18:38:11,951 INFO  [log] 2 and 3
2020-08-25 18:38:11,973 INFO  [log] Computers & Accessories
2020-08-25 18:38:12,000 INFO  [log] Computers & Accessories
2020-08-25 18:38:12,001 INFO  [log] Description of the Computers & Accessories
2020-08-25 18:38:13,066 INFO  [log] [1791]
2020-08-25 18:38:13,067 INFO  [log] 1791
2020-08-25 18:38:14,002 INFO  [log] 11 and 6
2020-08-25 18:38:14,004 INFO  [log] Dinesh
2020-08-25 18:38:14,007 INFO  [log] Test1
2020-08-25 18:38:14,012 INFO  [log] dineshtest1@gmail.com
2020-08-25 18:38:14,017 INFO  [log] passwordtest1
2020-08-25 18:38:14,022 INFO  [log] passwordtest1
2020-08-25 18:38:14,036 INFO  [log] 1-541-754-3313
2020-08-25 18:38:16,541 INFO  [log] Status: FINISHED, time taken for TestCase was: 2291 ms
2020-08-25 18:38:16,558 INFO  [log] Number of test steps which ran: 6
2020-08-25 18:38:16,569 INFO  [log] Dinesh
2020-08-25 18:38:16,569 INFO  [log] Test2
2020-08-25 18:38:16,570 INFO  [log] dineshtest2@gmail.com
2020-08-25 18:38:16,571 INFO  [log] passwordtest2
2020-08-25 18:38:16,574 INFO  [log] passwordtest2
2020-08-25 18:38:16,575 INFO  [log] 1-541-754-4313
2020-08-25 18:38:19,155 INFO  [log] Status: FINISHED, time taken for TestCase was: 2501 ms
2020-08-25 18:38:19,156 INFO  [log] Number of test steps which ran: 6
2020-08-25 18:38:19,157 INFO  [log] Dinesh
2020-08-25 18:38:19,158 INFO  [log] Test3
2020-08-25 18:38:19,166 INFO  [log] dineshtest3@gmail.com
2020-08-25 18:38:19,167 INFO  [log] passwordtest3
2020-08-25 18:38:19,168 INFO  [log] passwordtest3
2020-08-25 18:38:19,171 INFO  [log] 1-541-754-5313
2020-08-25 18:38:21,620 INFO  [log] Status: FINISHED, time taken for TestCase was: 2355 ms
2020-08-25 18:38:21,630 INFO  [log] Number of test steps which ran: 6
2020-08-25 18:38:21,635 INFO  [log] Dinesh
2020-08-25 18:38:21,642 INFO  [log] Test4
2020-08-25 18:38:21,646 INFO  [log] dineshtest4@gmail.com
2020-08-25 18:38:21,648 INFO  [log] passwordtest4
2020-08-25 18:38:21,652 INFO  [log] passwordtest4
2020-08-25 18:38:21,653 INFO  [log] 1-541-754-6313
2020-08-25 18:38:24,134 INFO  [log] Status: FINISHED, time taken for TestCase was: 2394 ms
2020-08-25 18:38:24,136 INFO  [log] Number of test steps which ran: 6
2020-08-25 18:38:24,137 INFO  [log] Dinesh
2020-08-25 18:38:24,140 INFO  [log] Test5
2020-08-25 18:38:24,151 INFO  [log] dineshtest5@gmail.com
2020-08-25 18:38:24,153 INFO  [log] passwordtest5
2020-08-25 18:38:24,155 INFO  [log] passwordtest5
2020-08-25 18:38:24,159 INFO  [log] 1-541-754-7313
2020-08-25 18:38:26,732 INFO  [log] Status: FINISHED, time taken for TestCase was: 2477 ms
2020-08-25 18:38:26,733 INFO  [log] Number of test steps which ran: 6
2020-08-25 18:38:26,736 INFO  [log] Dinesh
2020-08-25 18:38:26,737 INFO  [log] Test6
2020-08-25 18:38:26,745 INFO  [log] dineshtest6@gmail.com
2020-08-25 18:38:26,748 INFO  [log] passwordtest6
2020-08-25 18:38:26,749 INFO  [log] passwordtest6
2020-08-25 18:38:26,754 INFO  [log] 1-541-754-8313
2020-08-25 18:38:29,438 INFO  [log] Status: FINISHED, time taken for TestCase was: 2614 ms
2020-08-25 18:38:29,442 INFO  [log] Number of test steps which ran: 6
2020-08-25 18:38:29,444 INFO  [log] Dinesh
2020-08-25 18:38:29,445 INFO  [log] Test7
2020-08-25 18:38:29,448 INFO  [log] dineshtest7@gmail.com
2020-08-25 18:38:29,450 INFO  [log] passwordtest7
2020-08-25 18:38:29,453 INFO  [log] passwordtest7
2020-08-25 18:38:29,455 INFO  [log] 1-541-754-9313
2020-08-25 18:38:32,127 INFO  [log] Status: FINISHED, time taken for TestCase was: 2592 ms
2020-08-25 18:38:32,131 INFO  [log] Number of test steps which ran: 6
2020-08-25 18:38:32,132 INFO  [log] Dinesh
2020-08-25 18:38:32,132 INFO  [log] Test8
2020-08-25 18:38:32,133 INFO  [log] dineshtest8@gmail.com
2020-08-25 18:38:32,136 INFO  [log] passwordtest8
2020-08-25 18:38:32,137 INFO  [log] passwordtest8
2020-08-25 18:38:32,143 INFO  [log] 1-541-754-10313
2020-08-25 18:38:35,383 INFO  [log] Status: FINISHED, time taken for TestCase was: 3136 ms
2020-08-25 18:38:35,388 INFO  [log] Number of test steps which ran: 6
2020-08-25 18:38:35,389 INFO  [log] Dinesh
2020-08-25 18:38:35,392 INFO  [log] Test9
2020-08-25 18:38:35,392 INFO  [log] dineshtest9@gmail.com
2020-08-25 18:38:35,397 INFO  [log] passwordtest9
2020-08-25 18:38:35,397 INFO  [log] passwordtest9
2020-08-25 18:38:35,398 INFO  [log] 1-541-754-11313
2020-08-25 18:38:38,438 INFO  [log] Status: FINISHED, time taken for TestCase was: 2961 ms
2020-08-25 18:38:38,440 INFO  [log] Number of test steps which ran: 6
2020-08-25 18:38:38,441 INFO  [log] Dinesh
2020-08-25 18:38:38,444 INFO  [log] Test100
2020-08-25 18:38:38,445 INFO  [log] dineshtest100@gmail.com
